Title,Body,Status,Priority,Labels,Milestone,Estimate (hours),Start date,Target date,Area,Role,Dependencies
"Wizard de nueva solicitud de transporte feature-based","Implementar el flujo de 4 pasos con React Router, React Query y estructura por feature. Trabajo humano estimado; no incluye tiempo de IA.",Done,High,"frontend,transport-request,feature-based","Sprint marketplace - Semana 1",0,2026-07-20,2026-07-20,Frontend,"Ganadero"
"Mapa de origen con búsqueda y coordenadas","Permitir seleccionar ubicación desde mapa, buscador y listado SENACSA; soportar ubicaciones libres con referencia obligatoria. Trabajo humano estimado; no incluye tiempo de IA.",Done,High,"frontend,map,transport-request","Sprint marketplace - Semana 1",0,2026-07-20,2026-07-20,Frontend,"Ganadero"
"Mapa y selector de destino","Aplicar el mismo comportamiento de origen a destino, incluyendo establecimientos, frigoríficos, estancias y ubicaciones libres. Trabajo humano estimado; no incluye tiempo de IA.",Done,High,"frontend,map,transport-request","Sprint marketplace - Semana 1",0,2026-07-20,2026-07-20,Frontend,"Ganadero"
"Detalle del ganado y división SENACSA","Implementar cabezas, tipo de ganado, peso, notas y división automática de guías cuando se supera el límite permitido. Trabajo humano estimado; no incluye tiempo de IA.",Done,High,"frontend,cattle,senacsa","Sprint marketplace - Semana 1",0,2026-07-20,2026-07-20,Frontend,"Ganadero"
"Confirmación y estimación de precio","Mostrar resumen de origen, destino, cabezas, peso, notas, tarifa, distancia y total estimado antes de publicar. Trabajo humano estimado; no incluye tiempo de IA.",Done,High,"frontend,pricing,transport-request","Sprint marketplace - Semana 1",0,2026-07-20,2026-07-20,Frontend,"Ganadero"
"Validación de fecha de carga","Impedir fechas anteriores al día actual y enviar la fecha en formato ISO YYYY-MM-DD. Trabajo humano estimado; no incluye tiempo de IA.",Done,High,"frontend,validation,transport-request","Sprint marketplace - Semana 1",0,2026-07-20,2026-07-20,Frontend,"Ganadero"
"Capa feature-based del marketplace","Crear tipos, API, hooks React Query y mappers para solicitudes, ofertas, guías y rondas de negociación. Trabajo humano estimado; no incluye tiempo de IA.",Done,High,"frontend,marketplace,feature-based","Sprint marketplace - Semana 1",0,2026-07-20,2026-07-20,Frontend,"Empresa / Owner-operator"
"Listado real de solicitudes y ofertas","Conectar las vistas existentes sin modificar el diseño para listar solicitudes disponibles, crear ofertas y mostrar ofertas recibidas al ganadero. Trabajo humano estimado; no incluye tiempo de IA.",Done,High,"frontend,marketplace,offers","Sprint marketplace - Semana 1",0,2026-07-20,2026-07-20,Frontend,"Empresa / Owner-operator"
"Permisos backend por rol","Permitir consultar solicitudes disponibles y crear ofertas únicamente a usuarios empresa y owner-operator; rechazar chofer y ganadero. Trabajo humano estimado; no incluye tiempo de IA.",Todo,High,"backend,auth,permissions,marketplace","Sprint marketplace - Semana 1",3,2026-07-20,2026-07-20,Backend,"Empresa / Owner-operator","Auth existente"
"Contraoferta y aceptación del transportista","Permitir que empresa u owner-operator responda una contraoferta del ganadero y la acepte con transición segura de estados. Trabajo humano estimado; no incluye tiempo de IA.",Todo,High,"backend,offers,negotiation","Sprint marketplace - Semana 1",5,2026-07-20,2026-07-21,Backend,"Empresa / Owner-operator","Permisos backend por rol"
"Validación del ciclo de vida de ofertas","Controlar duplicados, guías disponibles, máximo de rondas, ofertas rechazadas y cierre de solicitudes después de aceptar. Trabajo humano estimado; no incluye tiempo de IA.",Todo,High,"backend,offers,validation","Sprint marketplace - Semana 1",4,2026-07-21,2026-07-21,Backend,"Empresa / Owner-operator","Contraoferta y aceptación del transportista"
"Login web de empresa y owner-operator","Verificar login real, carga de roles y acceso al dashboard correcto para empresa y transportista independiente. Trabajo humano estimado; no incluye tiempo de IA.",Todo,High,"frontend,auth,roles","Sprint marketplace - Semana 1",2,2026-07-21,2026-07-21,Frontend,"Empresa / Owner-operator","Permisos backend por rol"
"Login del chofer en la aplicación móvil","Usar el mismo endpoint de autenticación del backend desde la app y mantener el rol chofer fuera del marketplace web. Trabajo humano estimado; no incluye tiempo de IA.",Todo,High,"mobile,auth,driver","Sprint marketplace - Semana 1",4,2026-07-22,2026-07-22,Mobile,"Chofer","Auth existente"
"Viajes asignados para el chofer","Conectar la app móvil con los viajes asignados, datos de origen/destino, estado, contacto y fecha de carga. Trabajo humano estimado; no incluye tiempo de IA.",Todo,High,"mobile,trips,driver","Sprint marketplace - Semana 1",5,2026-07-22,2026-07-23,Mobile,"Chofer","Login del chofer en la aplicación móvil"
"Asignación de vehículo y conductor","Después de aceptar una oferta de empresa, persistir vehículo y conductor asignados y mostrar la asignación en los dashboards. Trabajo humano estimado; no incluye tiempo de IA.",Todo,High,"backend,trips,fleet,assignment","Sprint marketplace - Semana 1",4,2026-07-23,2026-07-23,Backend,"Empresa","Validación del ciclo de vida de ofertas"
